CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
112536642,01/01/2016,00:00:00,12/31/2016,23:59:00,12/13/2017,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,HOTEL/MOTEL,,,,,,,
885929488,01/01/2016,00:01:00,11/01/2017,14:31:00,11/01/2017,233,SEX CRIMES,174,"SEXUAL MISCONDUCT,DEVIATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,23,INSIDE,RESIDENCE - APT. HOUSE,,,,,,,
118456560,01/01/2016,12:00:00,11/10/2017,12:00:00,11/10/2017,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,997915,219729,40.769779387,-73.950667635,"(40.769779387, -73.950667635)"
685479913,01/01/2016,08:00:00,08/04/2017,08:00:00,10/18/2017,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,6,INSIDE,RESIDENCE - APT. HOUSE,,,983469,208008,40.737618736,-74.002819678,"(40.737618736, -74.002819678)"
570410616,01/01/2016,00:01:00,10/04/2017,09:00:00,10/06/2017,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,DOCTOR/DENTIST OFFICE,,,989319,211834,40.748118736,-73.981707135,"(40.748118736, -73.981707135)"
509240632,01/01/2016,12:00:00,08/08/2017,12:00:00,09/13/2017,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,995590,221015,40.773312409,-73.959059252,"(40.773312409, -73.959059252)"
418016737,01/01/2016,01:10:00,,,06/19/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,985118,208831,40.73987766,-73.996869174,"(40.73987766, -73.996869174)"
404890055,01/01/2016,00:01:00,12/31/2016,23:59:00,05/18/2017,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,LA GUARDIA,,,,,
156095250,01/01/2016,12:00:00,12/31/2016,12:00:00,05/16/2017,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,25,INSIDE,RESIDENCE - PUBLIC HOUSING,,LINCOLN,,,,,
190783666,01/01/2016,12:00:00,03/10/2017,10:00:00,03/10/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,RESIDENCE - APT. HOUSE,,,990292,212471,40.749866529,-73.97819495,"(40.749866529, -73.97819495)"
621425183,01/01/2016,10:00:00,02/26/2017,17:00:00,02/26/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,PUBLIC BUILDING,,,997439,233857,40.808557679,-73.952358366,"(40.808557679, -73.952358366)"
479509422,01/01/2016,00:01:00,12/31/2016,23:59:00,02/13/2017,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,10,INSIDE,RESIDENCE - PUBLIC HOUSING,,,,,,,
631892474,01/01/2016,00:00:00,02/07/2017,00:00:00,02/07/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,996783,221912,40.775772829,-73.954750345,"(40.775772829, -73.954750345)"
885539002,01/01/2016,10:00:00,01/29/2017,12:02:00,01/31/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,25,,STREET,,,1000275,229995,40.797952861,-73.942123003,"(40.797952861, -73.942123003)"
841999126,01/01/2016,00:01:00,01/01/2016,23:59:00,01/12/2017,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,VLADECK,,,,,
